Year,State,District,Quarter,House_Type,Interest_Rate,Inflation_Rate,GDP,Unemployment_Rate,Population,House_Overhang,House_Price,House_Demand,House_Supply
2015,Johor,Kota Tinggi,3,Flat,3.21,3.83,297965.0,3.1,213.9,0.0,81000.0,560.0,560.0
2015,Johor,Kota Tinggi,3,Semi-Detached House,3.21,3.83,297965.0,3.1,213.9,0.0,305000.0,4400.0,4400.0
2015,Johor,Kota Tinggi,3,Terraced House,3.21,3.83,297965.0,3.1,213.9,0.0,190000.0,28718.0,28718.0
2015,Johor,Kota Tinggi,3,Town House,3.21,3.83,297965.0,3.1,213.9,0.0,630000.0,0.0,0.0
2015,Johor,Kota Tinggi,4,Cluster House,3.16,3.6,307745.0,3.1,213.9,0.0,745490.0,156.0,156.0
2015,Johor,Kota Tinggi,4,Condominium,3.16,3.6,307745.0,3.1,213.9,0.0,85000.0,0.0,0.0
2015,Johor,Kota Tinggi,4,Detached House,3.16,3.6,307745.0,3.1,213.9,0.0,139000.0,6752.0,6752.0
2015,Johor,Kota Tinggi,4,Flat,3.16,3.6,307745.0,3.1,213.9,0.0,81000.0,560.0,560.0
2015,Johor,Kota Tinggi,4,Semi-Detached House,3.16,3.6,307745.0,3.1,213.9,0.0,440600.0,4400.0,4400.0
2015,Johor,Kota Tinggi,4,Terraced House,3.16,3.6,307745.0,3.1,213.9,40.0,196500.0,29070.0,29110.0
2015,Johor,Kota Tinggi,4,Town House,3.16,3.6,307745.0,3.1,213.9,0.0,630000.0,0.0,0.0
2015,Johor,Kulai,1,Cluster House,3.24,1.1,282255.0,3.1,78.7,0.0,550000.0,235.0,235.0
2015,Johor,Kulai,1,Condominium,3.24,1.1,282255.0,3.1,78.7,38.0,90000.0,-38.0,0.0
2015,Johor,Kulai,1,Detached House,3.24,1.1,282255.0,3.1,78.7,0.0,177500.0,3677.0,3677.0
2015,Johor,Kulai,1,Flat,3.24,1.1,282255.0,3.1,78.7,0.0,90000.0,857.0,857.0
2015,Johor,Kulai,1,Semi-Detached House,3.24,1.1,282255.0,3.1,78.7,71.0,500000.0,2481.0,2552.0
2015,Johor,Kulai,1,Terraced House,3.24,1.1,282255.0,3.1,78.7,132.0,270000.0,44148.0,44280.0
2015,Johor,Kulai,1,Town House,3.24,1.1,282255.0,3.1,78.7,0.0,170000.0,225.0,225.0
2015,Johor,Kulai,2,Cluster House,3.23,2.8,288975.0,3.1,78.7,0.0,680000.0,235.0,235.0
2015,Johor,Kulai,2,Condominium,3.23,2.8,288975.0,3.1,78.7,57.0,438000.0,1851.0,1908.0
2015,Johor,Kulai,2,Detached House,3.23,2.8,288975.0,3.1,78.7,0.0,167500.0,3677.0,3677.0
2015,Johor,Kulai,2,Flat,3.23,2.8,288975.0,3.1,78.7,0.0,140000.0,857.0,857.0
2015,Johor,Kulai,2,Semi-Detached House,3.23,2.8,288975.0,3.1,78.7,36.0,497450.0,2516.0,2552.0
2015,Johor,Kulai,2,Terraced House,3.23,2.8,288975.0,3.1,78.7,74.0,240000.0,44206.0,44280.0
2015,Johor,Kulai,2,Town House,3.23,2.8,288975.0,3.1,78.7,0.0,330000.0,225.0,225.0
2015,Johor,Kulai,3,Cluster House,3.21,3.83,297965.0,3.1,78.7,0.0,686450.0,283.0,283.0
2015,Johor,Kulai,3,Condominium,3.21,3.83,297965.0,3.1,78.7,49.0,307500.0,1859.0,1908.0
2015,Johor,Kulai,3,Detached House,3.21,3.83,297965.0,3.1,78.7,0.0,160000.0,3677.0,3677.0
2015,Johor,Kulai,3,Flat,3.21,3.83,297965.0,3.1,78.7,0.0,140000.0,904.0,904.0
2015,Johor,Kulai,3,Semi-Detached House,3.21,3.83,297965.0,3.1,78.7,32.0,425000.0,2520.0,2552.0
2015,Johor,Kulai,3,Terraced House,3.21,3.83,297965.0,3.1,78.7,51.0,250000.0,44289.0,44340.0
2015,Johor,Kulai,3,Town House,3.21,3.83,297965.0,3.1,78.7,0.0,314000.0,225.0,225.0
2015,Johor,Kulai,4,Cluster House,3.16,3.6,307745.0,3.1,78.7,0.0,555000.0,283.0,283.0
2015,Johor,Kulai,4,Condominium,3.16,3.6,307745.0,3.1,78.7,30.0,100000.0,1878.0,1908.0
2015,Johor,Kulai,4,Detached House,3.16,3.6,307745.0,3.1,78.7,0.0,154000.0,3677.0,3677.0
2015,Johor,Kulai,4,Flat,3.16,3.6,307745.0,3.1,78.7,0.0,120000.0,904.0,904.0
2015,Johor,Kulai,4,Semi-Detached House,3.16,3.6,307745.0,3.1,78.7,44.0,530000.0,2508.0,2552.0
2015,Johor,Kulai,4,Terraced House,3.16,3.6,307745.0,3.1,78.7,123.0,240000.0,44243.0,44366.0
2015,Johor,Kulai,4,Town House,3.16,3.6,307745.0,3.1,78.7,0.0,260000.0,225.0,225.0
2015,Johor,Mersing,1,Cluster House,3.24,1.1,282255.0,3.1,270.2,0.0,344500.0,0.0,0.0
2015,Johor,Mersing,1,Condominium,3.24,1.1,282255.0,3.1,270.2,0.0,125250.0,0.0,0.0
2015,Johor,Mersing,1,Detached House,3.24,1.1,282255.0,3.1,270.2,0.0,196000.0,1662.0,1662.0
2015,Johor,Mersing,1,Flat,3.24,1.1,282255.0,3.1,270.2,0.0,89250.0,0.0,0.0
2015,Johor,Mersing,1,Semi-Detached House,3.24,1.1,282255.0,3.1,270.2,0.0,417500.0,184.0,184.0
2015,Johor,Mersing,1,Terraced House,3.24,1.1,282255.0,3.1,270.2,0.0,166125.0,2183.0,2183.0
2015,Johor,Mersing,1,Town House,3.24,1.1,282255.0,3.1,270.2,0.0,257500.0,0.0,0.0
2015,Johor,Mersing,2,Cluster House,3.23,2.8,288975.0,3.1,270.2,0.0,344500.0,0.0,0.0
2015,Johor,Mersing,2,Condominium,3.23,2.8,288975.0,3.1,270.2,0.0,125250.0,0.0,0.0
2015,Johor,Mersing,2,Detached House,3.23,2.8,288975.0,3.1,270.2,0.0,185000.0,1662.0,1662.0
2015,Johor,Mersing,2,Flat,3.23,2.8,288975.0,3.1,270.2,0.0,89250.0,0.0,0.0
2015,Johor,Mersing,2,Semi-Detached House,3.23,2.8,288975.0,3.1,270.2,0.0,140000.0,186.0,186.0
2015,Johor,Mersing,2,Terraced House,3.23,2.8,288975.0,3.1,270.2,0.0,171000.0,2188.0,2188.0
2015,Johor,Mersing,2,Town House,3.23,2.8,288975.0,3.1,270.2,0.0,257500.0,0.0,0.0
2015,Johor,Mersing,3,Cluster House,3.21,3.83,297965.0,3.1,270.2,0.0,344500.0,0.0,0.0
2015,Johor,Mersing,3,Condominium,3.21,3.83,297965.0,3.1,270.2,0.0,125250.0,0.0,0.0
2015,Johor,Mersing,3,Detached House,3.21,3.83,297965.0,3.1,270.2,0.0,160000.0,1674.0,1674.0
2015,Johor,Mersing,3,Flat,3.21,3.83,297965.0,3.1,270.2,0.0,89250.0,0.0,0.0
2015,Johor,Mersing,3,Semi-Detached House,3.21,3.83,297965.0,3.1,270.2,0.0,350000.0,214.0,214.0
2015,Johor,Mersing,3,Terraced House,3.21,3.83,297965.0,3.1,270.2,0.0,210000.0,2277.0,2277.0
2015,Johor,Mersing,3,Town House,3.21,3.83,297965.0,3.1,270.2,0.0,257500.0,0.0,0.0
2015,Johor,Mersing,4,Cluster House,3.16,3.6,307745.0,3.1,270.2,0.0,344500.0,0.0,0.0
2015,Johor,Mersing,4,Condominium,3.16,3.6,307745.0,3.1,270.2,0.0,125250.0,0.0,0.0
2015,Johor,Mersing,4,Detached House,3.16,3.6,307745.0,3.1,270.2,0.0,190000.0,1674.0,1674.0
2015,Johor,Mersing,4,Flat,3.16,3.6,307745.0,3.1,270.2,0.0,89250.0,0.0,0.0
2015,Johor,Mersing,4,Semi-Detached House,3.16,3.6,307745.0,3.1,270.2,0.0,417500.0,214.0,214.0
2015,Johor,Mersing,4,Terraced House,3.16,3.6,307745.0,3.1,270.2,0.0,185000.0,2277.0,2277.0
2015,Johor,Mersing,4,Town House,3.16,3.6,307745.0,3.1,270.2,0.0,257500.0,0.0,0.0
2015,Johor,Muar,1,Cluster House,3.24,1.1,282255.0,3.1,170.5,0.0,145000.0,0.0,0.0
2015,Johor,Muar,1,Condominium,3.24,1.1,282255.0,3.1,170.5,0.0,155000.0,0.0,0.0
2015,Johor,Muar,1,Detached House,3.24,1.1,282255.0,3.1,170.5,0.0,210000.0,16895.0,16895.0
2015,Johor,Muar,1,Flat,3.24,1.1,282255.0,3.1,170.5,0.0,130000.0,177.0,177.0
2015,Johor,Muar,1,Semi-Detached House,3.24,1.1,282255.0,3.1,170.5,8.0,345000.0,8434.0,8442.0
2015,Johor,Muar,1,Terraced House,3.24,1.1,282255.0,3.1,170.5,24.0,250000.0,14247.0,14271.0
2015,Johor,Muar,1,Town House,3.24,1.1,282255.0,3.1,170.5,0.0,160000.0,0.0,0.0
2015,Johor,Muar,2,Cluster House,3.23,2.8,288975.0,3.1,170.5,0.0,122500.0,0.0,0.0
2015,Johor,Muar,2,Condominium,3.23,2.8,288975.0,3.1,170.5,0.0,150000.0,1228.0,1228.0
2015,Johor,Muar,2,Detached House,3.23,2.8,288975.0,3.1,170.5,0.0,310000.0,16895.0,16895.0
2015,Johor,Muar,2,Flat,3.23,2.8,288975.0,3.1,170.5,0.0,113000.0,177.0,177.0
2015,Johor,Muar,2,Semi-Detached House,3.23,2.8,288975.0,3.1,170.5,0.0,320000.0,8480.0,8480.0
2015,Johor,Muar,2,Terraced House,3.23,2.8,288975.0,3.1,170.5,16.0,255000.0,14288.0,14304.0
2015,Johor,Muar,2,Town House,3.23,2.8,288975.0,3.1,170.5,0.0,160000.0,0.0,0.0
2015,Johor,Muar,3,Cluster House,3.21,3.83,297965.0,3.1,170.5,0.0,508000.0,0.0,0.0
2015,Johor,Muar,3,Condominium,3.21,3.83,297965.0,3.1,170.5,0.0,158500.0,1228.0,1228.0
2015,Johor,Muar,3,Detached House,3.21,3.83,297965.0,3.1,170.5,0.0,260000.0,16895.0,16895.0
2015,Johor,Muar,3,Flat,3.21,3.83,297965.0,3.1,170.5,0.0,104000.0,177.0,177.0
2015,Johor,Muar,3,Semi-Detached House,3.21,3.83,297965.0,3.1,170.5,0.0,330000.0,8480.0,8480.0
2015,Johor,Muar,3,Terraced House,3.21,3.83,297965.0,3.1,170.5,6.0,260000.0,14298.0,14304.0
2015,Johor,Muar,3,Town House,3.21,3.83,297965.0,3.1,170.5,0.0,160000.0,0.0,0.0
2015,Johor,Muar,4,Cluster House,3.16,3.6,307745.0,3.1,170.5,0.0,420000.0,0.0,0.0
2015,Johor,Muar,4,Condominium,3.16,3.6,307745.0,3.1,170.5,0.0,156000.0,1228.0,1228.0
2015,Johor,Muar,4,Detached House,3.16,3.6,307745.0,3.1,170.5,0.0,445000.0,16895.0,16895.0
2015,Johor,Muar,4,Flat,3.16,3.6,307745.0,3.1,170.5,0.0,119500.0,177.0,177.0
2015,Johor,Muar,4,Semi-Detached House,3.16,3.6,307745.0,3.1,170.5,0.0,340000.0,8514.0,8514.0
2015,Johor,Muar,4,Terraced House,3.16,3.6,307745.0,3.1,170.5,14.0,298000.0,14364.0,14378.0
2015,Johor,Muar,4,Town House,3.16,3.6,307745.0,3.1,170.5,0.0,160000.0,0.0,0.0
2015,Johor,Pontian,1,Cluster House,3.24,1.1,282255.0,3.1,207.1,0.0,550000.0,72.0,72.0
2015,Johor,Pontian,1,Condominium,3.24,1.1,282255.0,3.1,207.1,0.0,220000.0,0.0,0.0
2015,Johor,Pontian,1,Detached House,3.24,1.1,282255.0,3.1,207.1,0.0,157500.0,7063.0,7063.0
2015,Johor,Pontian,1,Flat,3.24,1.1,282255.0,3.1,207.1,0.0,89250.0,148.0,148.0
2015,Johor,Pontian,1,Semi-Detached House,3.24,1.1,282255.0,3.1,207.1,0.0,350000.0,2214.0,2214.0
2015,Johor,Pontian,1,Terraced House,3.24,1.1,282255.0,3.1,207.1,0.0,224000.0,7010.0,7010.0
2015,Johor,Pontian,1,Town House,3.24,1.1,282255.0,3.1,207.1,0.0,257500.0,0.0,0.0
2015,Johor,Pontian,2,Cluster House,3.23,2.8,288975.0,3.1,207.1,0.0,550000.0,72.0,72.0
2015,Johor,Pontian,2,Condominium,3.23,2.8,288975.0,3.1,207.1,0.0,220000.0,0.0,0.0
2015,Johor,Pontian,2,Detached House,3.23,2.8,288975.0,3.1,207.1,0.0,280000.0,7063.0,7063.0
2015,Johor,Pontian,2,Flat,3.23,2.8,288975.0,3.1,207.1,0.0,89250.0,148.0,148.0
2015,Johor,Pontian,2,Semi-Detached House,3.23,2.8,288975.0,3.1,207.1,0.0,385550.0,2214.0,2214.0
2015,Johor,Pontian,2,Terraced House,3.23,2.8,288975.0,3.1,207.1,0.0,250000.0,7010.0,7010.0
2015,Johor,Pontian,2,Town House,3.23,2.8,288975.0,3.1,207.1,0.0,257500.0,0.0,0.0
2015,Johor,Pontian,3,Cluster House,3.21,3.83,297965.0,3.1,207.1,0.0,550000.0,72.0,72.0
2015,Johor,Pontian,3,Condominium,3.21,3.83,297965.0,3.1,207.1,0.0,220000.0,0.0,0.0
2015,Johor,Pontian,3,Detached House,3.21,3.83,297965.0,3.1,207.1,0.0,180000.0,7063.0,7063.0
2015,Johor,Pontian,3,Flat,3.21,3.83,297965.0,3.1,207.1,0.0,89250.0,148.0,148.0
